,image_id,ques_en,ans_en,label
1188,2390460,What is the food lying on?,Table.,2071
1189,2398626,How many laptops are there?,One.,1687
1190,2351203,How many bananas can you see?,Five.,899
1191,2390196,What is the bottle made of?,Thick glass.,2314
1192,2386514,What color are the trees?,Green.,1009
1193,2360200,Where is the hat?,Left child's left hand.,1295
1194,2404745,How is the cat colored?,White.,2563
1195,2401272,What is the zebras colors?,Black and white.,592
1196,2362811,Where was the cake put?,On a table.,1516
1197,2348407,Where is the dog?,In the grass.,1152
1198,2407088,What color are the fixtures?,Silver.,1937
1199,2321066,Why was this photo taken?,To show a skateboard.,2369
1200,2385577,How many pizzas are there?,1,7
1201,2339938,Where is the skateboard?,Under boys feet.,2453
1202,2394993,Where is a shelf?,Along back wall.,399
1203,2400745,Where is grey pole behind man?,On wall.,1673
1204,2321229,What color is the grass?,Green.,1009
1205,2321229,Where was this image taken?,On a field.,1495
1206,2364241,What is yellow?,Walls.,2497
1207,2345977,Who is there with her?,A photographer.,242
1208,2345977,What is she wearing?,Jewelry.,1252
1209,2372279,Where are windows?,On the buildings.,1575
1210,2363955,How is the little bird shaped?,Round.,1883
1211,2363955,Where are the rocks?,Under the bird.,2457
1212,2380647,When was the photo taken?,Daytime.,800
1213,2380647,What is the man doing?,Skating.,1950
1214,2388717,Where is the clock?,On the building.,1574
1215,2337764,What number is on the right train?,Three.,2320
1216,2401708,What is the food on?,A white plate with blue trim.,350
1217,2345386,How many dogs are there?,One.,1687
1218,2390196,What shape is the bottle's lid?,Round.,1883
1219,2337698,Where is this location?,City.,729
1220,2393677,What is behind the men?,Trees.,2425
1221,2353521,When was this shot?,Daytime.,800
1222,2383842,Who is in the picture?,No one.,1449
1223,2383842,What is the subject of the photo?,Cat.,694
1224,2383842,How is the leash attached to the cat?,Harness.,1029
1225,2348407,How many dogs are in the picture?,One.,1687
1226,2415597,What color are the stripes on the ground?,White.,2563
1227,2346840,What is the floor made of?,Tiles.,2326
1228,2384285,How is the animal holding the carrot?,With its tongue.,2580
1229,2339938,What color is the sky?,Blue.,621
1230,2321229,What is to the left of the image?,A branch.,98
1231,2342996,What color is the sky?,Blue.,621
1232,2372900,What kind of boat?,Sailboat.,1898
1233,107919,What color are the flowers on the tree?,Red.,1854
1234,107919,What color is the horse?,Brown.,655
1235,2408812,What color is the table?,White.,2563
1236,2346120,What is between the pizza and the paddle?,Paper.,1725
1237,2367174,What is white above the cows?,Clouds.,746
1238,2337764,What color is the right train?,Taupe and blue.,2087
1239,2332725,What is the man having in his hands?,Vase.,2478
1240,2386514,What color is the fence?,White and gray.,2541
1241,2368614,What fruit is in this picture?,Banana.,497
1242,2360200,What is on the boy's backs?,Backpacks.,490
1243,2349168,How many people are standing on the sand?,Four.,940
1244,2331288,How many dinosaurs are in the picture?,Zero.,2620
1245,2331905,When was picture taken?,During daylight.,841
1246,2331905,What is this?,A city setting.,121
1247,2408245,What holiday could this be?,Halloween.,1021
1248,2321066,Where was this photo taken?,At a park.,446
1249,2375873,What is large and green?,Banana Leaves.,496
1250,2394993,How are the mirrors staying on the wall?,They are bolted on the wall.,2300
1251,2335893,What vehicle is shown?,Bus.,665
1252,2407575,What is the bird standing on?,Black net.,595
1253,2407575,What color is the bird?,Brown.,655
1254,2328103,How many printers do you see?,Two.,2446
1255,2402465,What is the bird covered with?,Feathers.,887
1256,2402465,What kind of animal is this?,A bird.,85
1257,2348077,What is in the batter's hands?,Bat.,509
1258,2372279,Where os the woman standing?,Grass.,987
1259,2405438,Where is a cat?,On the desk.,1584
1260,2372900,Where is the island?,In the distance.,1147
1261,2373825,Where is the mirror?,On the wall.,1655
1262,2388717,How is the sky?,Cloudy.,747
1263,2346120,How many plates are on the table?,One.,1687
1264,2320105,Where is this activity?,Out-of-doors.,1701
1265,2412284,Where was this taken?,Tennis court.,2097
1266,2412284,How many people are actively playing tennis?,One.,1687
1267,2398626,Where is the hockey game?,On television.,1560
1268,2332725,What is the color of the pot?,Purple.,1821
1269,2345386,What color is the couch?,White.,2563
1270,2394894,What kind of the cheese is in the container?,Laughing Cow.,1286
1271,2404964,What is the color of the roof?,Green.,1009
1272,2334356,What color is the paper bag?,Brown.,655
1273,2334356,What color is the question mark?,Black.,603
1274,2319780,Where was the picture taken?,Road.,1875
1275,2349168,What color is the suit of the airborne person?,Blue.,621
1276,2404745,What is the cat on?,The floor.,2172
1277,2362811,What is the man on the cake doing?,Fishing.,897
1278,2326403,How many chimneys are visible?,Three.,2320
1279,2338998,What color is the book case?,Black.,603
1280,2346840,How is the room?,Well lit.,2519
1281,2331905,What is in front of building?,Busses.,669
1282,2408923,What is the cat's paws resting on?,A newspaper.,229
1283,2321066,What color are the boy's shorts?,Yellow.,2612
1284,2384285,What is the animal eating?,A carrot.,112
1285,2375873,How many flowers are in the photo?,One.,1687
1286,2335893,How many animals are shown?,0,0
1287,2335893,How many buses are shown?,1,7
1288,2377152,What is growing in this tree?,Bananas.,498
1289,2326112,What color is the water?,Blue.,621
1290,2326112,What color is the sky?,Clear.,736
1291,2345977,How many women are there?,One.,1687
1292,2342996,What color is the ground?,Grey.,1015
1293,2380647,How is the photo?,Clear.,736
1294,2412956,What does the airplane in right background appear to be doing?,Taking off.,2077
1295,107919,What is on the man's head?,A hat.,179
1296,2315926,How is the weather?,Overcast.,1716
1297,2346120,What is melted on the pizza?,Cheese.,711
1298,2390460,What kind of food is this?,Chinese.,717
1299,2390460,What is under the rice?,The broccoli.,2142
1300,2366365,What vegetation is surrounding the zebras?,Tall grass.,2082
1301,2398318,What is laying next to the remote?,Cat.,694
1302,2368614,What kind of roof is on the buildings?,Thatched straw.,2105
1303,2404964,What is being eaten on the street?,Paper wrapped hotdog.,1724
1304,2360200,Who is in shorts?,Both children.,629
1305,2379554,How many boards are there?,3,28
1306,2360055,What is a woman looking at?,Cell phone.,698
1307,2348407,What color is the frisbee?,Blue.,621
1308,2326403,What color is the sky?,Blue.,621
1309,2333198,When was the photo taken?,Daytime.,800
1310,2331288,What color are the sliced peppers?,Red.,1854
1311,2416971,What is the man holding?,The surfboard.,2252
1312,2416971,Where was the picture taken?,At the beach.,469
1313,2346840,What pattern is the bedsheet?,Straight lines.,2029
1314,2331905,Where is location?,A city street.,122
1315,2331905,What is in background?,A building.,101
1316,2386676,What does the clock do?,Tell time.,2092
1317,2407088,What is on the walls?,Tile.,2324
1318,2339938,Who is dancing?,No one.,1449
1319,2394020,Where are these men riding?,Along the water.,403
1320,2324464,What sport is being played?,Tennis.,2103
1321,2375873,What is empty on the tree?,Peel of banana.,1746
1322,2377152,What time of day was this taken?,Daytime.,800
1323,2362311,What kind of animal is shown?,Cat.,694
1324,2407575,What is the bird covered in?,Feathers.,887
1325,2372900,Why is it bright?,The sun is out.,2248
1326,2394096,What is laying on the floor?,Surfboards.,2060
1327,2329339,Where is the airport?,Just ahead.,1256
1328,2408812,What is the large coiled object in the back?,Radiator.,1827
1329,2367174,What are the cows doing?,Grazing.,994
1330,2320105,What kind of day is it?,Blue with some rain clouds.,619
1331,2390460,Why is there rice visible in this picture?,It's an overview photo.,1223
1332,2400617,What is black object under plate and glass?,Table mat.,2070
1333,2398626,What is the photo of above computer?,Hockey game.,1052
1334,2365410,What is the fence made out of?,Wood.,2593
1335,2334356,When was the photo taken?,Night time.,1435
1336,2334356,How many people are in the photo?,One.,1687
1337,2381790,What is his main job?,Reading Parking Meters.,1836
1338,2379554,When is the picture taken?,Daytime.,800
1339,2360055,Where is a yellow wall?,Behind the women.,558
1340,2345690,Why is the man wearing a black tie?,Because it matches his suit jacket.,520
1341,2349168,What is a color in the kite?,Orange.,1698
1342,2389434,What is in the saucer?,Donut.,817
1343,2401272,What is the number of zebras?,2,21
1344,2416971,What color is the wet suit?,Black.,603
1345,2404495,What large plastic item that you sit in is visible on the deck?,Chair.,704
1346,2394020,What are both men wearing on their heads?,Hats.,1031
1347,2394993,Where are the sinks?,In a bathroom.,1067
1348,2355904,What color are the plates?,White.,2563
1350,2410258,What is on the bed?,A pillow.,246
1351,2384978,How many hands are in the picture?,One.,1687
1352,2404973,What is above the salt shaker?,Another plate.,427
1353,2400745,What color is the suit?,Black.,603
1354,2342996,How many bikes are there?,One.,1687
1355,2402601,Where is the blue letters?,On white building.,1674
1356,2412956,What is the plane's main color?,White.,2563
1357,107919,Who is sitting in the cart?,Man in a white hat.,1350
1358,2394096,Where is the number 01?,On a surfboard.,1515
1359,2329339,Why is the plane descending?,Landing.,1275
1360,2401708,What color is the plate?,Blue.,621
1361,2412284,What is the man doing?,Playing tennis.,1796
1362,2366365,How are the zebras positioned?,Standing.,2006
1363,2398318,Where is the cat looking?,Off to the side.,1476
1364,2342838,What color are the walls?,Blue.,621
1365,2365410,What is on the road?,A bus.,103
1366,2368614,What is in the sky?,Clouds.,746
1367,2404964,Who is eating a hotdog?,A woman.,356
1368,2404964,Who is eating the hot dog?,The woman.,2289
1369,2319780,How many people are pictured?,1,7
1370,2319780,What color is the wagon cover?,White.,2563
1371,2348407,Who is in this picture?,A dog.,146
1372,2333198,Who is in the back?,3 men.,29
1373,2416971,What is next to the sand?,The water.,2273
1374,2346840,What color is the wall?,White.,2563
1375,2386676,What color is the lamp post?,Green.,1009
1376,2408245,What is woman doing?,Using laptop.,2476
1377,2401587,What is on the woman's feet?,Slippers.,1961
1378,2384285,What animal is pictured?,Giraffe.,967
1379,2384285,What color is the animal's tongue?,Purple.,1821
1380,2324464,What color are the chairs in the stands?,Black.,603
1381,2324464,What color is the tennis ball?,Green.,1009
1382,2394993,How is the wall covered?,With tile.,2582
1383,2364814,What kind of pants is the man in the back wearing?,Light blue shorts.,1313
1384,2317163,What is blue?,Wall.,2496
1385,2317163,How many skaters?,One.,1687
1386,2321229,What is growing in the background?,Trees.,2425
1387,2362311,What has pointy ears?,The cat.,2150
1388,2372279,What is the building size?,Large.,1283
1389,2342996,What is on the person's back?,A skateboard.,290
1390,2405438,What animal is here?,Cat.,694
1391,2329339,What color is the sun?,Golden orange.,981
1392,2408812,What color is the remote for the truck?,Black.,603
1393,2374384,What does one see in the glass?,Reflections.,1857
1394,2374384,When was the train at the station?,During daylight hours.,840
1395,2346120,How many slices of pizza are in the picture?,8,49
1396,2401708,What kind of vegetables are in the dish?,Carrots and broccoli.,689
1397,2390460,Where is the rice?,Visible on the plate.,2487
1398,2398626,Where is the white wall?,Behind the tv.,555
1399,2332725,What is in their eyes?,Glass.,972
1400,2365410,When was the photo taken?,Daytime.,800
1401,2351203,What color is the bowl?,Blue.,621
1402,2351203,What insect is in the picture?,Butterflies.,670
1403,2387173,Where is the cat?,In a suitcase.,1095
1404,2372238,What color are the letters on the truck?,Red and black.,1843
1405,2383842,Where is the cat?,Doorstep.,819
1406,2362811,Where is the blue color on the cake?,The bottom.,2135
1407,2338998,Who is in the room?,No one.,1449
1408,2338998,What color is the mesh bin?,Blue.,621
1409,2333198,Where is the man looking?,At the camera.,470
1410,2346840,What is on the wall?,A piece of art.,244
1411,2404495,What is the main color of the letter D?,White.,2563
1412,2386676,What time is it?,07:40:00,5
1413,2321066,What color is the skateboard?,Blue.,621
1414,2384285,What color is the carrot?,Orange.,1698
1415,2324464,How many tennis players are there?,1,7
1416,2324464,What does the player have around his wrists?,Sweat bands.,2063
1417,2355904,How many slices of pizza are missing from the pizza in the foreground?,1,7
1418,2355904,How many plates of pizza are there?,8,49
1419,2335893,How many cops are on the street?,3,28
1420,2364814,Where is the yellow writing?,On the scoreboard.,1632
1421,2364814,What is behind the man?,A scoreboard.,278
1422,2404973,What object has flowers on it?,Plate.,1788
1423,2321229,What is the child doing?,Riding a horse.,1862
1424,2345977,What is on her hair?,A flower.,154
1425,2402465,What is the color of the leaf?,Green.,1009
1426,2348077,When was the photo taken?,Daytime.,800
1427,2372279,What kind of skirt is the woman wearing?,Jean skirt.,1248
1428,2372279,Why is the woman holding an umbrella?,To block the sun.,2334
1429,2363955,When was the photo taken?,Daytime.,800
1430,2374384,Where are the people waiting on the train?,On the sidewalk.,1638
1431,2346120,What is the paddle under the pizza made with?,Wood.,2593
1432,2412284,What color is the lettering on the sign on the back wall?,Black.,603
1433,2387173,What color is the suitcase?,Gray.,993
1434,2394894,Why is there food in containers?,Lunchtime.,1338
1435,2404964,What is the sandwich wrapped in?,Paper.,1725
1436,2360200,What is on the children's backs?,Bags.,492
1437,2379554,What is the color of the sign board?,Red and white.,1847
1438,2360055,What is on the face of the woman in the gray shirt?,Glasses.,973
1439,2345690,What color is the man's shirt?,White.,2563
1440,2409213,What color shirt is the man at the far left table wearing?,Blue.,621
1441,2353521,How many fence posts are shown?,6,43
1442,2375027,When was the photo taken?,During daytime.,842
1443,2372238,Where is the orange?,Cones.,760
1444,2401272,What is on the zebra's head?,A mane.,215
1445,2401272,What is the zebra on the left doing?,Eating.,856
1446,2362811,What is the man holding?,Fish.,896
1447,2338998,How many chairs are there?,Two.,2446
1448,2415597,When was this photo taken?,During the day.,846
1449,2331288,What color is the bowl?,Black.,603
1450,2407088,What is the pattern in this room?,Checked.,708
1451,2408245,What is on the woman's face?,Glasses.,973
1452,2401587,What type of ground is the bench on?,Paved red bricks.,1742
1453,2394020,How many horses are there?,2,21
1454,2375873,What grows on the tree?,Bananasa.,499
1455,2355904,What type of food is this?,Pizza.,1780
1456,2384978,What finger is the ring on?,Middle.,1378
1457,2400745,What is red on the guy?,Tie.,2323
1458,2328103,How many screens does the computer have?,One.,1687
1459,2328103,How many chairs are there?,One.,1687
1460,2408812,What color is the toy truck's body?,Blue.,621
1461,2315926,What color is the closest plane's tail?,Blue.,621
1462,2401708,What material is the plate?,Ceramic.,701
1463,2400617,Where is the meat and cheese?,On the plate.,1617
1464,2366365,What are there four of in the photo?,Zebras.,2619
1465,2365410,What is growing behind the bus?,Trees.,2425
1466,2360055,How many people are pictured?,Two.,2446
1467,2337698,What is on the street?,Cars.,691
1468,2393677,What type of cell phones are these?,Smart phones.,1964
1469,2389434,What shape is the bowl?,Round.,1883
1470,2389434,What shape is the doughnut?,Circle.,726
1471,2348407,When was this picture taken?,During the daytime.,847
1472,2415597,What is on the catcher and umpires face?,Face mask.,875
1473,2408923,How many cats are in the image?,One.,1687
1474,2407088,How many people are here?,None.,1456
1475,2339938,What is the person doing?,Skateboarding.,1947
1476,2339938,How many trucks are there?,None.,1456
1477,2394993,What color are the countertops?,Pink.,1775
1478,2355904,How many people are in this picture?,1,7
1479,2410258,What color is the sheets?,Pink and red.,1773
1480,2377152,How many flowers are visible?,One.,1687
1481,2404973,Where is the bread located?,On the plate.,1617
1482,2364241,Where is the sunlight shining?,Floor.,905
1483,2363955,How many birds are there?,One.,1687
1484,2405438,What is sitting on the keyboard?,A cat.,113
1485,2388717,What is in the sky?,Clouds.,746
1486,2315926,How many entire planes are visible?,1,7
1487,2367174,Where are the cows?,On a grassy field.,1496
1488,2398318,What is the white object the cat is laying on?,Sheet.,1919
1489,2368614,Where is this scene set?,An outdoor market.,420
1490,2381790,How many Parking Meters are there?,3,28
1491,2409213,What are the people eating near?,Water.,2514
1492,2349168,When is the photo taken?,Daytime.,800
1493,2393677,What is in the background?,Trees.,2425
1494,2353521,What is the focus?,Airplane flying in storm.,391
1495,2375027,What is the animal on the left?,A giraffe.,164
1496,2326403,What is growing on pavement?,Weeds.,2518
1497,2408923,What is the cat laying on?,The paper.,2216
1498,2404495,What color is his shirt?,Blue.,621
1499,2317163,What is on his head?,Hat.,1030
1500,2317163,Where is he skating?,Park.,1730
1501,2326112,How many boats?,Two.,2446
1502,2345977,When was the photo taken?,During the day.,846
1503,2405438,Where is the cat?,Keyboard.,1261
1504,2380647,Where was the photo taken?,On the sidewalk.,1638
1505,2372900,Where are the boats?,In the water.,1182
1506,2373825,What room is this in?,Bathroom.,510
1507,2329339,Who flies the plane?,A pilot.,247
1508,2408812,What toy is on the white counter?,Remote controlled truck.,1858
1509,2400617,What is on the plate?,Food.,920
1510,2366365,What is white in the sky?,Clouds.,746
1511,2342838,What is the desk made of?,Wood.,2593
1512,2345386,Who is wearing glasses?,The woman.,2289
1513,2394894,What is in front of the small blue container?,Pink container.,1774
1514,2390196,What is the jar made of?,Glass.,972
1515,2386514,What color is the dirt?,Brown.,655
1516,2381790,Why do you think this was taken long ago?,All the Vehicles are Older.,398
1517,2319780,What color are the mules?,Brown.,655
1518,2349168,What surrounds the sand?,Water.,2514
1519,2375027,When was the photo taken?,Daytime.,800
1520,2326403,When was this taken?,Daytime.,800
1521,2333198,How many people are pictured?,4,34
1522,2331288,What color is the table?,Blue.,621
1523,2331288,How many elephants are pictured?,Zero.,2620
1524,2408923,How many newspapers are on the table?,One.,1687
1525,2386676,Where is the red object?,On the right.,1625
1526,2408245,What is on the girl's hat?,Orange bats.,1695
1527,2401587,Where is the woman sitting?,On a bench.,1484
1528,2385577,What are the toppings on top of?,The crust.,2160
1529,2386740,How many red signs?,One.,1687
1532,2410258,What color are the bed linens?,Red.,1854
1533,2335893,Where is this shot?,Street.,2034
1534,2362311,What is sitting down in front of mirror?,White cat.,2549
1535,2364241,How is the floor looks like?,Brown and tan.,648
1536,2407575,Where is the bird located?,On a net.,1500
1537,2348077,"What color is the sign that says ""Born To Play""?",Green.,1009
1538,2363955,What has white and yellow bits in it?,Rock.,1876
1539,2380647,What is the man wearing?,Clothes.,745
1540,2412956,What is the landing area often called?,Tarmac.,2086
1541,2412956,What color is the plane's accents?,Red and white.,1847
1542,2315926,Where is the picture taken?,Airport.,395
1543,2368614,What is the man holding in the right hand?,Banan bunch.,495
1544,2345386,What is visible through the window?,Trees.,2425
1545,2379554,What is the leave color?,Green.,1009
1546,2337698,Why can you not see the cars?,Going too fast.,978
1547,2393677,Where is this scene?,Woods.,2597
1548,2353521,How many people are in the shot?,0,0
1549,2353521,Where is this shot from?,Fence to airfield.,890
1550,2386740,What color is the octagon shaped sign?,Red.,1854
1551,2384978,Why is this person holding a fork?,To eat.,2339
1552,2377152,When did this occur?,During the day time.,845
1553,2404973,What is on the plate?,A chicken sandwich.,118
1554,2364241,Where is the book?,Table.,2071
1555,2364241,What color is the carpet?,Brown.,655
1556,107919,What color are the flowers on the bush in the background?,Red.,1854
1557,2373825,What is the reflective surface?,Mirror.,1382
1558,2394096,Why is the sun shining in the room?,The door is open.,2167
1559,2388717,What is in the background?,A ship.,283
1560,2374384,Where is the white colored door?,On the side of the train.,1637
1561,2337764,How many trains are there?,Two.,2446
1562,2320105,What is he catching?,A Frisbee.,55
1563,2320105,When will they quit?,After they are tired.,386
1564,2400617,How many pieces of cheese are on the plate?,One.,1687
1565,2412284,What are people doing in the background?,Watching the match.,2506
1566,2351203,What is eating the oranges?,Butterflies.,670
1567,2387173,What color is the cat?,Black.,603
1568,2387173,Who is the cat biting?,The man.,2203
1569,2394894,What animal is on the bag at the bottom of the picture?,A frog.,160
1570,2386514,Where are the elephants?,On the dirt.,1585
1571,2360200,What is the boy holding over the head?,Hat.,1030
1572,2360055,Where was the picture taken?,At a restaurant.,449
1573,2345690,When was the man smiling?,While he was wearing a white button down shirt.,2535
1574,2409213,Where is this photo taken?,On an outside patio.,1523
1575,2409213,What is covering the tables?,Tablecloths.,2073
1576,2372238,Where is the vechile?,Parking lot.,1735
1577,2372238,Where is the fence?,Front of truck.,951
1578,2383842,What is attached to the harness?,Leash.,1292
1579,2401272,What is the small zebra doing?,It's standing.,1233
1580,2362811,What Birthday is this for?,65th.,47
1581,2404495,What main color is the rope attached to the boat?,Yellow.,2612
1582,2386676,What color are the hands on the clock?,Black.,603
1583,2321066,When was this photo taken?,In the daytime.,1146
1584,2386740,What color are the leaves?,Brown.,655
1585,2362311,What is in the mirror?,A reflection.,264
1586,2402601,Where can you see a window?,On the left top of building.,1603
1587,2388717,What kind of day is this?,Cloudy.,747
1588,2315926,Where is the closest plane facing?,Right.,1872
1589,2367174,What is large and full of grass?,The field.,2171
1590,2398626,What site is the person using?,Flickr.,901
1591,2398318,What is beneath the cat?,White cloth.,2550
1592,2398318,What is coming out of the cat's face?,Whiskers.,2536
1593,2321866,Who is on the sidewalk?,The pedestrians.,2218
1594,2411835,What is the player doing?,Standing.,2006
1595,2366447,What color are the linens?,Gold.,980
1596,2321866,When was the photo taken?,Day time.,798
1597,2322074,Why is he there?,He is sking.,1037
1598,2388902,What is in the back of the enclosure?,Large stones.,1280
1599,2401070,What is the giraffe doing?,Standing.,2006
1600,2370442,What hat is the man wearing?,A chef hat.,117
1601,2415153,What is in the background?,Trees.,2425
1602,2381070,What color is the paper plate?,White.,2563
1603,2413078,What is the man riding?,A blue motorbike.,92
1604,2391698,What is at the bottom of the yellow wall?,A black awning.,86
1605,2332363,What is sitting on top of the laptop keyboard?,A cell phone.,114
1606,2332363,How many coffee mugs are gray?,One.,1687
1607,2377890,Where in line is the biggest elephant?,Front.,952
1608,2377491,How is the man wearing the hood?,On is head.,1540
1609,2386533,What color is the kid's apron?,Blue.,621
1610,2407060,What can be seen flying in the sky?,Birds.,585
1611,2407060,Who is flying?,Birds.,585
1612,2325682,What is blue?,A jacket.,189
1613,2321802,Why is there a clock?,For time.,933
1614,2330918,Where was this picture taken?,Appliance store.,432
1615,2395907,What is beneath the bench?,Bricks.,640
1616,2372961,Where is the frisbee?,In the air in the foreground of the scene.,1134
1617,2377619,Where is the photo taken?,A bathroom.,75
1618,2379868,What is the primary color of the sign on the right?,Red.,1854
1619,2324174,What is on the potatoes?,An egg.,413
1620,2353347,How many players are there?,One.,1687
1621,2346865,Where was this photo taken?,At a picnic.,448
1622,2365243,What is lining the sides of the street that are tall?,Houses.,1063
1623,2370905,What covers the train platform?,A roof.,271
1624,2320293,Where are the bowls?,On the table.,1646
1625,2399044,What color is the surface they are playing on?,Green.,1009
1626,2367213,Where is the tower?,Next to a river.,1418
1627,2359140,What is in the plastic wrap?,Cherry tomatoes.,712
1628,2393600,What shape is the inflatable?,Star.,2007
1629,2416089,When was the picture taken?,Daytime.,800
1630,2408100,What color is the street sign?,Green.,1009
1631,2395542,What is the bear doing?,Growling.,1019
1632,2391698,What is the name of the storefront?,The Dragon.,2108
1633,2377890,What is dead here?,A tree.,334
1634,2334900,What are the animals standing on?,Sand.,1901
1635,2368087,What is the style of the countertop?,Marble.,1361
1636,2398422,What is is on the side of the bus?,A 007 movie advertisement.,53
1637,2398422,What kind of buildings are behind the bus?,High rise buildings.,1048
1638,2343260,Where was this picture taken?,A field.,152
1639,2341074,What is the white food on the plate?,Rice.,1859
1640,2363303,What does the red and white sign say?,No parking at any time.,1450
1641,2322969,Where are the apples?,In the bowls.,1138
1642,2325682,What utensil is on saucer?,A spoon.,296
1643,2363102,What animal is on the ground?,Cows.,769
1644,2324218,How many men are in the picture?,2,21
1645,2321802,How many clocks?,One.,1687
1646,2395907,What is the bench made of?,Wood.,2593
1647,2395907,Where are the bricks?,Under the bench.,2456
1648,2377619,What is on the black door?,A silver hinge.,289
1649,2381745,What is the bus parked next to?,Sidewalk.,1932
1650,2381745,What is the person on the bench wearing on his head?,Hat.,1030
1651,2378173,When was the picture taken?,Daytime.,800
1652,2367716,When was this picture taken?,Daytime.,800
1653,2399044,What is happening in the scene?,A tennis game.,319
1654,2344851,What color is the sign?,Yellow.,2612
1655,2393600,What are the men holding up?,Floating toys.,904
1656,2401070,What one color are the leaves on the trees?,Green.,1009
1657,2408100,Where is the car?,On the road.,1627
1658,2374728,Who is jumping?,The men.,2206
1659,2386533,Where are the kids?,A pizza parlor.,249
1660,2375491,Where are the giraffes?,Beside the building.,572
1661,2414676,What animal is in front of the zebras?,Yaks.,2601
1662,2363057,Where are the man's hands?,In his jacket pockets.,1123
1663,2370083,What is the logo on the side of the sneaker?,Nike.,1439
1664,2325682,When did the man smile?,For the camera.,931
1665,2363102,How come the cows heads are down?,They are eating grass.,2302
1666,2328681,Who is driving the train?,Conductor.,759
1667,2321131,What color are the carrots?,Orange.,1698
1668,2395907,What is the bench on?,Bricks.,640
1669,2372961,How is the near grass separated from the far grass?,Sidewalk.,1932
1670,2363748,Where are the two gauntlets?,On the table.,1646
1671,2405827,What platform number is Lilydale Line?,5,37
1672,2353347,Where is this photo taken?,On a baseball field.,1482
1673,2353347,Why are the people sitting in the stands?,They are watching the baseball game.,2310
1674,2331422,What is the color of the suitcase?,Gray.,993
1675,2331422,Where was the picture taken?,In a department store.,1075
1676,2366898,What is on the couch?,Pillows.,1771
1677,2370905,What do the trains say?,Marc.,1362
1678,2320293,What color are the peas?,Green.,1009
1679,2320293,How many bowls are on the table?,Two.,2446
1680,2381658,What is the subject of the photograph?,A bird.,85
1681,2381658,What color is the bird?,White.,2563
1682,2381658,Who is in the picture?,No one.,1449
1683,2381252,What color is the canvas?,White.,2563
1684,2363942,What block of addresses is identified on the sign?,800,50
1685,2378710,How many plates are there?,2,21
1686,2362266,What is supporting the boy?,Stair railing.,1998
1687,2388902,Who is to the left of the picture?,Two giraffes in enclosure.,2439
1688,2358360,What is the color of the umbrella?,Black and red.,590
1689,2374937,What is on the stove?,Electric burners.,859
1690,2396449,What is on table?,Placement.,1781
1691,2377890,How many legs do the elephants have?,Four.,940
1692,2316861,What is the material of the house?,Wood.,2593
1693,2374728,What type of roof is on the buildings?,Shingled.,1921
1694,2368087,What is the hue of the container?,Black.,603
1695,2377491,What is the girl using to see?,Glasses.,973
1696,2343260,What color are most of the cows?,Brown.,655
1697,2379901,What is the man wearing on his face?,Sunglasses.,2050
1698,2396861,What is on the tree?,Branches.,636
1699,2349058,How many bags?,7,48
1700,2330918,What color is the appliance in the middle?,Off white.,1477
1701,2324174,Where is the egg?,On the potatoes.,1622
1702,2381745,Where is the bus?,Street.,2034
1703,2378173,What color is the toilet?,White.,2563
1704,2367716,What color is the man's outfit?,White.,2563
1705,2394080,Where is the curved bench?,In the nook.,1165
1706,2392410,How does one enter and leave the room?,Through the door.,2321
1707,2395542,What bear has teeth visible?,The bigger one.,2126
1708,2392341,What is on the counter?,A towel.,327
1709,2368252,Where are the smaller vases located?,To the left.,2382
1710,2316861,How many men are in the photo?,Two.,2446
1711,2334900,How many elephants are photographed?,Two.,2446
1712,2368087,What color is the lunch box?,Black.,603
1713,2386533,What is the kid doing?,Making food.,1344
1714,2408059,What is on the pizza?,Pepperonis.,1755
1715,2341074,When was the photo taken?,Daytime.,800
1716,2322969,What is in the bowels?,Apples.,431
1717,2322969,What color are the bowls?,White.,2563
1718,2379901,What color is the man's hat?,Gray.,993
1719,2339745,How many cats are there?,Two.,2446
1720,2396861,How does the day look?,Sunny.,2057
1721,2396861,What is behind the young boy?,A skateboard.,290
1722,2328681,How many people are pictured?,0,0
1723,2324218,What color is the man's hat?,Blue.,621
1724,2321131,Where is he sheep lying?,In the grass.,1152
1725,2331786,How many women are in focus?,One.,1687
1726,2366898,Who is wearing a yellow sweatshirt?,The boy.,2139
1727,2327260,What animal is pictured?,A dog.,146
1728,2344851,What is the clock tower's facade made from?,Stone.,2017
1729,2381658,Where is the scene occurring?,On a beach.,1483
1730,2381658,What color is bird's head?,Black.,603
1731,2367213,What type of tower is show?,Clock tower.,739
1732,2339684,Where is the plant?,Beside the bed.,571
1733,2378710,Where is the picture taken?,In a restaurant.,1093
1734,2366447,What is at the bottom of the bed?,Posts.,1809
1735,2322074,What is the color of the snow?,White.,2563
1736,2401070,What number of giraffes are visible?,One.,1687
1737,2370442,What is on the cookie sheet?,Pizza.,1780
1738,2392410,What is tan on the bed?,The comforter.,2157
1739,2359779,What is the black material on the pizza?,Olives.,1481
1740,2413078,How many motorcycles?,2,21
1741,2368252,Where are the three small vases?,To the side of the white vase.,2387
1742,2377890,What are the elephants doing?,Walking.,2494
1743,2377890,What animals are pictured?,Elephants.,865
1744,2386533,What is on their head?,Hats.,1031
1745,2415091,What is in the sky?,Clouds.,746
1746,2341074,How many utensils are visible?,Two.,2446
